Player,Decade,URL,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939
Issouf TraorÇ¸,1990s,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edin MujŽin,1990s,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IvÇ­n CÇürdoba,1990s,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leandro Machado,1990s,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Bunbury,1990s,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergiu Epureanu,1990s,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Moldova.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose¸ Gavica,1990s,https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Bravo,1990s,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Steen Nielsen,1990s,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andreas Andersson,1990s,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmed Bareed,1990s,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Yemen.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VÇðctor Rene¸ Mendieta Ocampo,1990s,https://upload.wikimedia.org/wikipedia/commons/a/ab/Flag_of_Panama.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrei Fyodorov,1990s,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Uzbekistan.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olivier Djappa,1990s,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilir Kepa,1990s,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Robinson,1990s,https://en.m.wikipedia.org/wiki/File:Flag_of_Wales.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Capurro,1990s,https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dunga,1990s,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Tan,1990s,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Singapore.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Sandy,1990s,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pang Gwang-Chol,1990s,https://upload.wikimedia.org/wikipedia/commons/5/51/Flag_of_North_Korea.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Nielsen,1990s,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djamel Amani,1990s,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Masami Ihara,1990s,https://upload.wikimedia.org/wikipedia/en/9/9e/Flag_of_Japan.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joonas Kolkka,1990s,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bajram Franholli,1990s,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Blake,1990s,https://en.m.wikipedia.org/wiki/File:Flag_of_Wales.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PÇ­vel Pardo,1990s,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CŽŸtŽŸlin Munteanu,1990s,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Romania.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tchiressoua Guel,1990s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ç?li Johannesen,1990s,https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torkil Nielsen,1990s,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devi Muka,1990s,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jens Kristian Hansen,1990s,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itzik Zohar,1990s,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eugenio Dolmo Flores,1990s,https://upload.wikimedia.org/wikipedia/commons/8/82/Flag_of_Honduras.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lubo­ KubÇðk,1990s,https://en.wikipedia.org/wiki/File:Flag_of_Czechoslovakia.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Widodo Cahyono Putro,1990s,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raul Doaz Arce,1990s,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_El_Salvador.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joseph-DÇ¸sirÇ¸ Job,1990s,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omar Mubarak,1990s,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Yemen.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khaled Badra,1990s,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Tunisia.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Seni,1990s,https://upload.wikimedia.org/wikipedia/commons/7/74/Flag_of_the_Solomon_Islands.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stern John,1990s,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Trinidad_and_Tobago.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwight Allers Kelley,1990s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Saint_Kitts_and_Nevis.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippe Albert,1990s,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdelhafid Tasfaout,1990s,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Leboeuf,1990s,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Babkin Melikian,1990s,https://upload.wikimedia.org/wikipedia/commons/5/59/Flag_of_Lebanon.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shaun Bartlett,1990s,https://upload.wikimedia.org/wikipedia/commons/a/af/Flag_of_South_Africa.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MirbaŽ?Žñr Žøsayev,1990s,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MÇ­rcio Roberto dos Santos,1990s,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergey Grishin,1990s,https://upload.wikimedia.org/wikipedia/en/f/f3/Flag_of_Russia.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gheorghe Craioveanu,1990s,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Romania.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wong Chi Keung,1990s,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giuseppe Signori,1990s,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmad Che Zambil,1990s,https://upload.wikimedia.org/wikipedia/commons/6/66/Flag_of_Malaysia.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohammad Umer,1990s,https://upload.wikimedia.org/wikipedia/commons/3/32/Flag_of_Pakistan.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krzysztof Bukalski,1990s,https://upload.wikimedia.org/wikipedia/en/1/12/Flag_of_Poland.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lilian Thuram,1990s,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario Pedraza,1990s,https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Sixsmith,1990s,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Malta.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamid Derakhshan,1990s,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugo Galeano,1990s,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Paraguay.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bertrand Crasson,1990s,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panayiotis Engomitis,1990s,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Cyprus.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mani Stenter,1990s,https://upload.wikimedia.org/wikipedia/commons/3/35/Flag_of_the_Cook_Islands.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zaur Tagizade,1990s,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohammed Salem Al-Enazi,1990s,https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Qatar.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jiana Raoelijaona,1990s,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Madagascar.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Morrow,1990s,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lin Wen Han,1990s,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khalid Raghib,1990s,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abel Balbo,1990s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Igors Troickis,1990s,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Latvia.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Etcheverry,1990s,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julen Guerrero,1990s,https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Ginola,1990s,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oleg Ô?iÔ?chin,1990s,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Moldova.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merlyn MembreÇño,1990s,https://upload.wikimedia.org/wikipedia/commons/8/82/Flag_of_Honduras.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khalid Al-Temawi,1990s,https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Saudi_Arabia.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roman Kosecki,1990s,https://upload.wikimedia.org/wikipedia/en/1/12/Flag_of_Poland.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guillermo Amor,1990s,https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faisal Aziz Rashed,1990s,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ignacio AmbrÇðz,1990s,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankie Hejduk,1990s,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Augustine Peli,1990s,https://upload.wikimedia.org/wikipedia/commons/7/74/Flag_of_the_Solomon_Islands.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuri Kovtun,1990s,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefan Effenberg,1990s,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valery Karpin,1990s,https://upload.wikimedia.org/wikipedia/en/f/f3/Flag_of_Russia.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Etienne Olivier Rasoanaivo,1990s,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Madagascar.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario CÇ¸sar RamÇðrez,1990s,https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lokenge Mungongo,1990s,https://commons.wikimedia.org/wiki/File:Flag_of_the_Democratic_Republic_of_the_Congo.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Simeone,1990s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamdan Abdulla Al-Moamari,1990s,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Oman.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mao Yijun,1990s,https://commons.wikimedia.org/wiki/File:Flag_of_the_People%27s_Republic_of_China.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Au Wai Lun,1990s,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Petersen,1990s,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Youri Djorkaeff,1990s,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helman Mkhalele,1990s,https://upload.wikimedia.org/wikipedia/commons/a/af/Flag_of_South_Africa.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yervand Krbachyan,1990s,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronald de Boer,1990s,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibrahim Al-Shahrani,1990s,https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Saudi_Arabia.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SÇ¸kou DramÇ¸,1990s,https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roy Keane,1990s,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giovanni Regales,1990s,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andreas Heraf,1990s,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naeim Saadavi,1990s,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Clarke,1990s,https://upload.wikimedia.org/wikipedia/commons/b/b8/Flag_of_Liberia.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Constantin Barbu,1990s,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Romania.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel Bobadilla,1990s,https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Godlieb,1990s,https://upload.wikimedia.org/wikipedia/commons/6/60/Flag_of_Suriname.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hakan Sukur,1990s,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrik Andersson,1990s,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomas Raóanauskas,1990s,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Lithuania.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Dooley,1990s,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason McAteer,1990s,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cobi Jones,1990s,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DenÇðlson de Oliveira AraÇ§jo,1990s,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mutiu Adepoju,1990s,https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Nigeria.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hubert Suda,1990s,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Malta.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Farina,1990s,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Breen,1990s,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munaf Ramadan,1990s,https://upload.wikimedia.org/wikipedia/commons/5/53/Flag_of_Syria.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Urdaneta,1990s,https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Venezuela.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeris Tadrus,1990s,https://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Jordan.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ko Jeong-woon,1990s,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheung Kam Wa,1990s,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Pablo SorÇðn,1990s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timote Moleni,1990s,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Tonga.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vincent Mutale,1990s,https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Zambia.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Scholes,1990s,https://en.wikipedia.org/wiki/File:Flag_of_England.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Greenaway,1990s,https://upload.wikimedia.org/wikipedia/commons/c/c4/Flag_of_Dominica.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis MartÇ¸n,1990s,https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marko RajamÇÏki,1990s,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basaula Lemba,1990s,https://commons.wikimedia.org/wiki/File:Flag_of_the_Democratic_Republic_of_the_Congo.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aref Al-Shewaier,1990s,https://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Jordan.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
